frame,kp_0_x,kp_1_x,kp_2_x,kp_3_x,kp_4_x,kp_5_x,kp_6_x,kp_7_x,kp_8_x,kp_9_x,kp_10_x,kp_11_x,kp_12_x,kp_13_x,kp_14_x,kp_15_x,kp_16_x,kp_0_y,kp_1_y,kp_2_y,kp_3_y,kp_4_y,kp_5_y,kp_6_y,kp_7_y,kp_8_y,kp_9_y,kp_10_y,kp_11_y,kp_12_y,kp_13_y,kp_14_y,kp_15_y,kp_16_y,kp_0_conf,kp_1_conf,kp_2_conf,kp_3_conf,kp_4_conf,kp_5_conf,kp_6_conf,kp_7_conf,kp_8_conf,kp_9_conf,kp_10_conf,kp_11_conf,kp_12_conf,kp_13_conf,kp_14_conf,kp_15_conf,kp_16_conf
30,629.1606,643.3255,614.17126,664.99744,595.1358,694.4123,571.869,692.8289,557.5981,654.9907,576.57837,668.93384,584.1058,663.1117,558.1418,641.80164,591.268,341.3039,327.1521,330.4886,336.72278,343.87256,407.41882,411.8556,492.37988,491.30255,544.9426,560.53265,572.6313,574.16144,573.5036,578.7992,592.0338,600.9701,0.9882134,0.9695426,0.9720661,0.772966,0.8161446,0.9899292,0.99114203,0.9310804,0.9380082,0.8773945,0.881336,0.87092644,0.86591476,0.23245028,0.22360128,0.041536182,0.04089716
31,629.16724,643.228,614.1106,664.8137,595.06665,695.0359,572.33215,692.4492,558.6192,653.941,578.3325,669.2426,584.4541,663.37103,557.30664,638.4082,589.944,341.4209,327.2088,330.88092,336.85406,344.68195,407.77667,412.6938,493.17834,492.46515,545.18115,560.23627,570.49896,572.0848,555.9842,561.204,585.6839,593.7838,0.98813,0.9700521,0.9718261,0.77529466,0.815939,0.99027264,0.99054176,0.9309002,0.9301573,0.8751136,0.8694374,0.86860436,0.8583896,0.27112293,0.25212634,0.056545526,0.053854972
32,629.6857,643.6392,614.3385,665.1111,594.96234,695.25916,572.6916,691.75806,559.98566,653.57996,580.1539,669.5919,584.97723,663.89465,558.51917,636.3041,590.1127,341.7177,327.3199,331.2481,336.89215,345.33228,407.54504,413.75732,492.8556,494.87482,544.56305,561.54395,568.82715,570.94446,552.2649,557.92975,583.51843,591.2112,0.98803324,0.9696573,0.97203124,0.7704332,0.82027084,0.99033785,0.9903742,0.93013644,0.9273884,0.87283206,0.86473143,0.8682816,0.85650814,0.28272733,0.26060814,0.061590612,0.0580613
33,630.07294,643.92413,614.72095,665.12103,595.12866,694.99817,572.9732,692.3349,559.8997,655.20874,578.07745,670.0329,585.6806,666.94464,559.9627,641.694,591.73926,341.81012,327.4749,331.33075,337.08728,345.38684,407.41425,413.40125,491.53076,492.8778,542.8104,557.1852,565.53235,567.66296,549.28485,554.9464,579.92706,587.5154,0.9881951,0.96948665,0.97266316,0.7647611,0.8244925,0.99035406,0.9906336,0.93101615,0.9305556,0.8762716,0.87214804,0.8744365,0.86433923,0.29859537,0.27802634,0.06626561,0.06291604
34,630.3155,644.0447,614.9807,665.1505,595.36206,694.912,573.59644,692.64374,560.4528,654.3094,578.36316,671.263,587.05554,670.8439,562.2243,646.5674,592.1422,342.01886,327.70624,331.58533,337.11017,345.46277,406.8758,413.10236,490.50635,492.41833,542.8225,558.0498,565.2355,567.61523,550.2125,556.1445,582.27216,590.13855,0.98814917,0.9696487,0.9728297,0.76279306,0.82445455,0.9900326,0.99013877,0.9300435,0.92814183,0.875088,0.86930716,0.87240946,0.86115056,0.296261,0.2745527,0.065888405,0.06232786
35,630.4411,644.13025,615.00494,665.2973,595.34564,694.56165,573.9713,692.45593,559.69196,654.1507,576.75195,671.3363,587.4133,671.32166,562.4701,650.236,591.56213,342.11658,327.7556,331.65875,337.22485,345.6775,406.9923,413.0205,490.56366,491.77368,542.2652,557.74023,564.78613,567.1541,556.7342,562.73096,584.637,592.8561,0.988248,0.96970654,0.9730954,0.7611197,0.82400316,0.9897295,0.9902029,0.92983377,0.9308742,0.8767693,0.8745611,0.8728276,0.8634423,0.28083384,0.2630325,0.05873689,0.056185335
36,630.9249,644.48517,615.2651,665.57056,595.434,694.4641,574.3276,692.4263,559.51245,654.77155,576.7842,671.5925,587.78174,671.9713,563.4294,652.6254,592.3289,342.8747,328.2381,332.3083,337.12073,346.02118,406.5869,412.75415,490.78125,491.60925,542.32117,558.1578,566.23425,568.8284,564.15686,570.67303,587.8014,596.9403,0.98824066,0.969199,0.97346,0.7545775,0.82593393,0.9892224,0.9901564,0.92818296,0.93314415,0.87594676,0.8785304,0.8660496,0.8587282,0.24804688,0.23576626,0.04773903,0.04632643
37,630.83765,644.5394,615.28613,665.6771,595.4481,694.23395,574.43335,692.10754,559.8552,654.76935,576.65216,671.5271,588.0029,671.9328,563.4561,651.99023,591.879,342.76758,328.20538,332.11707,337.20605,345.69257,406.54822,412.76044,490.28778,492.00146,542.3746,558.6847,565.0725,567.5998,561.1893,567.3279,587.1213,595.50696,0.9883013,0.96941996,0.97348183,0.7560563,0.82603323,0.98953176,0.9902808,0.9295907,0.9330121,0.87739885,0.87815905,0.8722756,0.864223,0.26946056,0.25463372,0.054150105,0.052230954
38,630.7115,644.54034,615.4071,665.6019,595.56464,694.0315,574.03625,692.4171,560.0384,654.4437,577.0335,671.6074,588.22235,670.7574,563.0907,649.29974,592.481,343.35742,328.83356,332.4018,337.3258,345.0108,406.52606,412.50806,489.84552,491.93542,543.2806,558.18524,565.58466,567.90326,561.569,567.33044,587.6895,595.69293,0.98804164,0.9689603,0.9730756,0.75680476,0.82518363,0.9893859,0.9901797,0.9282588,0.9321879,0.87508833,0.8764884,0.86830294,0.86047685,0.2623827,0.24854499,0.05260569,0.050879747
39,630.55383,644.4943,615.32666,665.6855,595.6393,694.2034,574.3783,692.5666,560.15344,654.99115,576.5333,670.915,587.6764,669.99036,561.7842,648.6922,591.6946,343.15424,328.6435,332.2505,337.36615,345.0769,406.8413,412.62122,489.2813,490.9248,542.80225,557.4324,565.0023,567.1008,554.8644,560.2475,584.8512,592.2494,0.9881692,0.9695759,0.9730056,0.7604252,0.8226307,0.9896026,0.9900677,0.92937434,0.93056667,0.877182,0.8750237,0.87012506,0.8606825,0.28105032,0.2633766,0.059554994,0.05699131
