frame,kp_0_x,kp_1_x,kp_2_x,kp_3_x,kp_4_x,kp_5_x,kp_6_x,kp_7_x,kp_8_x,kp_9_x,kp_10_x,kp_11_x,kp_12_x,kp_13_x,kp_14_x,kp_15_x,kp_16_x,kp_0_y,kp_1_y,kp_2_y,kp_3_y,kp_4_y,kp_5_y,kp_6_y,kp_7_y,kp_8_y,kp_9_y,kp_10_y,kp_11_y,kp_12_y,kp_13_y,kp_14_y,kp_15_y,kp_16_y,kp_0_conf,kp_1_conf,kp_2_conf,kp_3_conf,kp_4_conf,kp_5_conf,kp_6_conf,kp_7_conf,kp_8_conf,kp_9_conf,kp_10_conf,kp_11_conf,kp_12_conf,kp_13_conf,kp_14_conf,kp_15_conf,kp_16_conf
34,632.30023,645.1595,616.7286,661.3784,594.1227,688.1135,564.65765,715.6138,501.37347,619.32916,487.63956,633.8613,554.12494,602.21265,519.90784,626.961,569.6824,333.43872,319.23492,321.69775,328.24756,333.3283,425.60333,387.0835,507.7118,347.68817,545.1812,246.24872,596.5552,580.1178,576.4361,585.0602,571.15546,599.0859,0.98642373,0.96575415,0.97115993,0.7336537,0.7538049,0.9723828,0.98532134,0.8776752,0.94865966,0.8900653,0.9538954,0.6373523,0.70822906,0.044285476,0.06017533,0.0046733916,0.005747974
35,632.3574,645.22363,616.77454,661.35364,594.04584,688.1051,564.4114,715.81445,501.20703,619.3733,487.69797,633.47296,553.67285,602.2099,520.0401,626.2738,569.7512,333.528,319.30408,321.72284,328.2729,333.2434,425.74774,386.99188,507.9453,347.62317,545.21277,246.28369,596.3338,579.7852,575.8622,584.2522,571.25977,599.0299,0.986427,0.96563137,0.9712362,0.7329212,0.7553126,0.9727559,0.9854833,0.8784919,0.9489658,0.8904933,0.9540881,0.6426359,0.71268475,0.04594922,0.06235844,0.0048780143,0.0059947073
36,632.6356,645.4553,617.1075,661.2475,594.1639,687.86505,564.24854,715.7902,501.11612,619.1899,488.05685,634.3322,554.4488,603.4603,520.72833,627.97534,570.304,333.62976,319.51733,321.7738,328.6089,333.24292,425.82336,387.1219,507.32782,347.45874,545.0741,245.7107,596.83344,580.3862,575.6929,584.1017,570.6211,598.1704,0.98648024,0.96551037,0.9714751,0.7301999,0.7577219,0.9725772,0.9854748,0.8786715,0.94935894,0.89102685,0.9546137,0.63841474,0.70931935,0.044416726,0.0604164,0.0046910644,0.005772412
37,632.7967,645.5864,617.2254,661.33777,594.2341,687.94543,564.42615,715.79785,501.13757,619.4767,488.08258,634.2285,554.43506,603.0676,520.5113,627.39685,569.87335,333.6801,319.50488,321.8177,328.52667,333.2964,425.8039,387.229,507.29395,347.69177,545.0255,246.10266,596.8785,580.44116,576.0365,584.3884,571.0679,598.45197,0.98645556,0.965284,0.9715223,0.7284613,0.7586504,0.97252744,0.9855676,0.8783257,0.949793,0.890917,0.9549525,0.6396211,0.71122646,0.04467991,0.060984224,0.00471586,0.0058167577
38,632.58356,645.4048,616.96326,661.33215,594.0334,687.8899,564.0942,715.7069,500.7844,619.1882,487.8587,633.0771,553.14856,601.62366,518.92267,625.48975,568.52423,333.83136,319.4906,321.91376,328.25073,333.24036,425.65125,386.9375,507.7558,347.5926,544.95215,246.75775,596.3352,579.82733,574.58405,583.14246,569.1046,597.27515,0.98646176,0.96556795,0.9714004,0.73142457,0.75638014,0.97259057,0.9854269,0.87841606,0.9490144,0.89098823,0.9542876,0.63623285,0.7070983,0.04431057,0.06015557,0.004701704,0.0057736933
39,632.7367,645.5473,617.12726,661.20654,593.98584,687.77185,563.86865,715.69727,500.60846,619.33276,487.859,633.52045,553.43146,602.57385,519.5683,626.8083,569.1143,333.83386,319.6194,321.87927,328.6247,333.28784,425.96423,387.07935,507.66687,347.56244,544.8165,246.12952,597.22253,580.6505,575.9929,584.1526,570.3911,597.7768,0.9864408,0.9652525,0.9715489,0.72770524,0.7586491,0.9723537,0.9853871,0.8778051,0.9492414,0.89058334,0.9545498,0.63466644,0.7062752,0.043468684,0.05921507,0.004586369,0.0056450963
40,632.5445,645.414,616.97174,661.20886,593.9191,687.73413,563.8567,715.73114,500.7717,619.5084,487.7418,633.6143,553.50555,603.14465,520.08887,627.316,569.48706,333.9616,319.76227,322.00867,328.69415,333.2926,425.69373,386.8523,507.44324,347.55444,544.78906,246.25793,597.0094,580.47595,576.0145,584.2051,570.432,597.8837,0.98647285,0.9654296,0.97152245,0.7292575,0.7579888,0.9725673,0.9854233,0.87884915,0.94932467,0.891152,0.95456386,0.6370173,0.70775783,0.043737352,0.05945769,0.004603356,0.005660057
41,631.63654,644.84283,615.57135,662.6734,594.344,687.2372,566.4543,717.9966,496.85873,617.97107,484.35736,642.1289,565.57715,614.3574,537.71643,646.6786,590.23505,334.13367,319.78424,322.20624,327.65326,333.3158,428.08032,391.75397,515.97095,349.8202,530.4706,244.9524,605.94073,593.67096,605.60706,622.14954,597.98193,640.0806,0.9883915,0.9633883,0.97130376,0.72206724,0.7602972,0.9725359,0.99316156,0.8890592,0.97951174,0.9187821,0.9792279,0.6783354,0.7948837,0.033165634,0.060536116,0.0023671389,0.0037128031
42,631.50555,644.81934,615.5246,662.90137,594.5426,687.4479,566.5249,717.99835,497.06677,617.9925,484.25012,642.0748,565.48914,613.912,537.6591,645.367,590.07086,334.13373,319.774,322.17694,327.674,333.25043,428.0384,391.86353,515.9736,350.45392,530.2905,245.62048,605.73737,593.4951,605.8904,622.52014,597.94934,640.2472,0.9883716,0.96374923,0.97101223,0.7270686,0.7571503,0.97276366,0.9931584,0.8892071,0.9792265,0.918367,0.9788417,0.68029857,0.7956319,0.033597082,0.061042726,0.002402544,0.0037595034
43,631.4093,644.7572,615.45264,662.92804,594.54675,687.3379,566.5587,717.6561,497.21002,618.36707,484.39508,641.8632,565.18115,614.70557,537.38367,646.39667,589.22174,334.1042,319.7306,322.12988,327.69647,333.24304,428.0876,391.94794,515.5153,350.40002,529.776,245.88281,605.9071,593.68823,606.9413,623.4909,598.6501,640.77423,0.9884305,0.9640087,0.9711212,0.7276262,0.75671434,0.97280145,0.9931059,0.8899008,0.9791412,0.9189095,0.9788145,0.6834397,0.7971816,0.033885807,0.061324805,0.0024144948,0.003768742
44,631.249,644.6439,615.39655,662.97473,594.74,687.3109,566.4952,717.7058,497.27686,618.0612,484.3062,641.4044,564.79474,614.07776,537.36066,645.5583,589.5664,334.1443,319.83478,322.24347,327.91833,333.4442,428.18628,392.06763,515.5333,350.36646,529.4805,246.03564,605.4287,593.2703,605.74066,622.6999,597.0053,639.99744,0.9883692,0.9641125,0.9707712,0.7311892,0.75372833,0.97286236,0.99311787,0.8898604,0.97902125,0.9188073,0.9786454,0.6841919,0.7976234,0.034339547,0.062067002,0.0024634004,0.0038433373
